step,phi_center_ev,phi_center_cumavg_ev
0,2.0106887085345466,2.0106887085345466
50,2.0671534967853753,2.0389211026599607
100,1.833810223254026,1.9705508095246493
150,2.0537653250910455,1.9913544384162485
200,1.7271959257691627,1.9385227358868313
250,1.7706037750026573,1.9105362424061356
300,1.6745983812606144,1.876830833671061
350,1.6691562845442593,1.8508715150302109
400,1.7999968419721066,1.8452187735793106
450,1.8700234363018353,1.847699239851563
500,1.435187193184503,1.8101981447000122
550,1.9765669169248807,1.8240622090520846
600,1.950852709254115,1.8338153244522408
650,1.6838209486370483,1.8231014404654413
700,1.648630986607184,1.8114700768748908
750,1.4538356056703077,1.7891179224246043
800,1.528061567560402,1.773761666256122
850,1.8383790156065938,1.7773515189978148
900,1.583413064610084,1.7671442319247763
950,1.8162840654383066,1.7696012236004528
1000,1.8047896310626155,1.7712768620510322
1050,1.723553757192548,1.76910763001201
1100,1.5151478423838858,1.7580659001151349
1150,1.384413864592344,1.7424970653016854
1200,1.8394386904470155,1.7463747303074988
1250,1.8799569927569972,1.7515125096324793
1300,1.7765630998054356,1.7524403092685148
1350,1.3762492798453185,1.7390049153605436
1400,1.8818937028377742,1.7439321149287237
1450,1.5542264399375665,1.7376085924290186
1500,1.747734713471175,1.7379352414948945
1550,1.8414423010944634,1.741169837107381
1600,1.4079620976089473,1.7310726328801556
1650,1.606299896461751,1.7274028465149083
1700,1.6243945013409344,1.7244597509385091
1750,1.7427991415564132,1.724969178455673
1800,2.041914908671599,1.7335352792723198
1850,1.8370959759656114,1.7362605607642485
1900,1.7498388573307044,1.7366087222146704
1950,2.0482156022056905,1.7443988942144457
