thickness_ang,mean_U_vs_SHE_V,mean_phi_z_spatial_std_eV,n_frames
3.5,-1.1222804471879755,0.8960833223175831,39
4.0,-1.0192904219130592,0.9176483921418441,39
4.5,-0.9347846986254393,0.9480478006479007,39
5.0,-0.9132983216904363,0.9445017232185918,39
5.5,-0.9504813966969903,0.9388959563296732,39
6.0,-1.0098794638994835,0.9427714846415068,39
6.5,-1.0525118714604416,0.9411849584955622,39
7.0,-1.0790015909980357,0.9323888168695373,39
7.5,-1.105193283911235,0.9288253569106536,39
8.0,-1.1315281006875624,0.9305607308952464,39
8.5,-1.164715658180856,0.9325608827311239,39
9.0,-1.2183487834140305,0.9551577951915703,39
9.5,-1.3046992294581927,1.0366615229494363,39
10.0,-1.3647314834587956,1.1002321089522407,39
10.5,-1.3702746050054706,1.1171375029476571,39
11.0,-1.3129627204548306,1.1423090389448094,39
11.5,-1.2257629900476394,1.2003115364213255,39
12.0,-1.1292848928966752,1.2628544117635734,39
12.5,-1.0596880656813414,1.292733848222942,39
13.0,-1.0082358247410705,1.3035006000648655,39
13.5,-0.9966053306461473,1.2980074396187564,39
14.0,-1.0341780205916156,1.3063623849696226,39
14.5,-1.1428059420857575,1.416263662906719,39
15.0,-1.2816043692152455,1.5998766675355638,39
